kpi,nombre,objetivo,umbral,valor,cumple,evidencia,hallazgo,accion
T1,Latencia del tutor (mediana),OE2,≤ 8 s,"0,2 s",Sí,"informe-kpis.md; kpis.csv; graficas/t1-latencia.svg; dataset.csv",,
T2,Latencia del tutor (p95),OE2,≤ 15 s,"0,3 s",Sí,"informe-kpis.md; kpis.csv; graficas/t1-latencia.svg; dataset.csv",,
T3,Respuestas del tutor sin fallo,OE2,≥ 95 %,100 %,Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
T4,Pérdida de eventos,OE2,≤ 2 %,"0,3 %",Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
T5,Eventos duplicados,OE2,≤ 1 %,0 %,Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
T6,Sesiones con telemetría,OE3,≥ 90 %,100 %,Sí,"informe-kpis.md; kpis.csv; graficas/t6-sesiones.svg; dataset.csv",,
T7,Incidentes críticos en clase,OE2,= 0,sin dato,—,"informe-kpis.md; kpis.csv; registro en el plan del piloto",,
T8,Pruebas de humo,OE2,≥ 95 %,sin dato,—,"informe-kpis.md; kpis.csv; registro en el plan del piloto",,
T9,Respuestas ancladas en material autorizado,OE2,≥ 80 %,100 %,Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
T10,Tiempo de instalación,OE2,≤ 15 min,sin dato,—,"informe-kpis.md; kpis.csv; registro en el plan del piloto",,
T11,"Cumplimiento de privacidad, ética y seguridad",OE1,≥ 80 %,sin dato,—,"informe-kpis.md; kpis.csv; registro en el plan del piloto",,
T12,Eventos útiles en el diccionario,OE1,≥ 10,36 eventos,Sí,"informe-kpis.md; kpis.csv",,
U1,Experiencia de uso del tutor,OE3,"≥ 4,0 / 5","3,99 / 5",No,"informe-kpis.md; kpis.csv; graficas/u1-likert.svg; encuesta (archivo de Forms)",,
U2,Usabilidad (SUS),OE3,≥ 68,"70,9 puntos",Sí,"informe-kpis.md; kpis.csv; graficas/u2-sus.svg; encuesta (archivo de Forms)",,
U3,Ayudas valoradas como útiles,OE3,Descriptivo,"83,3 %",—,"informe-kpis.md; kpis.csv; dataset.csv",,
U4,Cambios del tutor aplicados en VS Code,OE3,Descriptivo,"58,3 %",—,"informe-kpis.md; kpis.csv; dataset.csv",,
U5,Respuesta de la encuesta,OE3,Descriptivo,"91,7 %",—,"informe-kpis.md; kpis.csv; encuesta (archivo de Forms)",,
P1,Reducción del tiempo hasta desbloqueo,OE3,≥ 20 %,"38,9 %",Sí,"informe-kpis.md; kpis.csv; graficas/p1-pareado.svg; graficas/p1-caja.svg; dataset.csv",,
P2,Episodios de bloqueo resueltos,OE3,Descriptivo (acompaña a P1),"87,5 %",—,"informe-kpis.md; kpis.csv; graficas/p1-caja.svg; dataset.csv",,
P3,Participación,OE3,≥ 70 %,100 %,Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
P4,Percepción de apoyo al aprendizaje,OE3,"≥ 4,0 / 5","3,75 / 5",No,"informe-kpis.md; kpis.csv; graficas/p4-likert.svg; encuesta (archivo de Forms)",,
P5,Mejoras críticas implementadas,OE3,≥ 65 %,sin dato,—,"informe-kpis.md; kpis.csv; registro en el plan del piloto",,
P6,Cumplimiento del límite anti-solución,OE2,= 100 %,100 %,Sí,"informe-kpis.md; kpis.csv; dataset.csv",,
P7,Bloqueos de la política y uso por etapa,OE2,Descriptivo,0 %,—,"informe-kpis.md; kpis.csv; graficas/p7-etapas.svg; dataset.csv",,
P8,Aciertos en el mini-quiz,OE3,Descriptivo,sin dato,—,"informe-kpis.md; kpis.csv",,
